epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.8043,4.67838,3.82184,4.1974,0.0061,0.5,0.00992,0.00505,5.16054,3.88375,4.1583,0.00015003,0.00015003,0.00015003
2,197.037,4.65538,3.61553,4.09174,0.00223,0.5,0.00804,0.00668,5.14099,3.8479,4.13811,0.000310459,0.000310459,0.000310459
3,294.312,4.34971,2.74139,3.79415,0.00228,0.5,0.0107,0.01058,5.11852,3.77949,4.12333,0.000464286,0.000464286,0.000464286
4,395.268,4.02383,2.04215,3.5408,0.00227,0.5,0.00942,0.00689,5.22301,3.68144,4.21912,0.000611512,0.000611512,0.000611512
5,493.838,3.47333,1.88753,3.36725,0.00224,0.5,0.0885,0.02919,5.18023,3.54642,4.17115,0.000752137,0.000752137,0.000752137
6,586.746,3.07012,1.75869,3.06844,0.00222,0.5,0.21017,0.04077,4.87877,3.30255,4.01137,0.000886161,0.000886161,0.000886161
7,675.853,2.64254,1.50853,2.77797,0.00223,0.5,0.1924,0.03412,4.83449,3.21393,3.99697,0.00101358,0.00101358,0.00101358
8,765.312,2.54522,1.45026,2.66251,0.01739,0.53816,0.35304,0.05893,4.6962,2.97262,3.879,0.0011344,0.0011344,0.0011344
9,864.6,2.3754,1.33591,2.55181,0.02297,0.55675,0.30672,0.05822,4.34709,2.78585,3.66715,0.00124862,0.00124862,0.00124862
10,956.851,2.24417,1.21511,2.32988,0.15861,0.52544,0.32992,0.06672,4.22318,2.17237,3.70441,0.00135624,0.00135624,0.00135624
11,1044.44,2.21284,1.20345,2.27947,0.23145,0.70157,0.45955,0.09518,3.20845,1.88124,3.027,0.00133693,0.00133693,0.00133693
12,1138.75,2.15895,1.17257,2.2568,0.46959,0.68505,0.6112,0.13425,2.7656,1.75208,2.66997,0.00130393,0.00130393,0.00130393
13,1224.82,2.02275,1.16372,2.14263,0.51421,0.68687,0.62699,0.2308,2.00128,1.50171,2.13464,0.00127092,0.00127092,0.00127092
14,1321.79,2.00141,1.09409,2.10911,0.48575,0.95793,0.62525,0.27255,1.70313,1.0161,1.89076,0.00123791,0.00123791,0.00123791
15,1411.63,1.95873,1.07794,2.10709,0.42304,0.9101,0.62328,0.26506,1.68696,0.98213,1.88978,0.00120491,0.00120491,0.00120491
16,1505.18,1.93451,1.01367,1.9712,0.39092,0.7829,0.51878,0.2043,1.89677,1.36061,2.0681,0.0011719,0.0011719,0.0011719
17,1605.51,1.82409,1.01485,1.90264,0.51033,0.90032,0.65041,0.32351,1.43176,0.92928,1.66486,0.00113889,0.00113889,0.00113889
18,1682.61,1.72302,0.94332,1.89793,0.59043,0.71131,0.66025,0.33266,1.39063,0.77021,1.70599,0.00110589,0.00110589,0.00110589
