epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8114,4.19265,3.57185,4.07249,0.00658,0.5,0.00777,0.00282,5.14456,3.72462,4.16664,0.000548543,0.000548543,0.000548543
2,31.0089,3.43604,2.46088,3.65526,0.23481,0.29797,0.19352,0.06664,2.80977,2.23169,3.1799,0.00108235,0.00108235,0.00108235
3,46.2531,2.8076,2.0551,3.36931,0.12695,0.54123,0.08417,0.03733,2.50608,inf,5.25122,0.00159414,0.00159414,0.00159414
4,61.6199,2.75375,1.95813,3.14485,0.30405,0.07121,0.08274,0.0333,4.4315,3.58531,4.29583,0.00156798,0.00156798,0.00156798
5,75.839,2.54296,1.76159,2.90338,0.36193,0.15571,0.19579,0.09025,2.87857,3.47466,3.06045,0.00153497,0.00153497,0.00153497
6,89.901,2.36371,1.69394,2.75633,0.34664,0.37637,0.41916,0.21978,1.92607,1.15636,2.2219,0.00150197,0.00150197,0.00150197
7,104.094,2.25202,1.56188,2.58264,0.3972,0.34585,0.40604,0.21401,1.86746,1.19995,2.19952,0.00146896,0.00146896,0.00146896
8,118.898,2.19775,1.5307,2.54451,0.39557,0.33788,0.38993,0.20853,1.7324,1.16912,2.01216,0.00143595,0.00143595,0.00143595
9,133.665,2.07159,1.46291,2.39846,0.39744,0.56714,0.49287,0.26541,1.64785,0.93588,1.8937,0.00140295,0.00140295,0.00140295
10,148.192,1.97194,1.40975,2.33637,0.66535,0.64366,0.62951,0.31418,1.39817,0.92963,1.78412,0.00136994,0.00136994,0.00136994
11,162.836,1.93121,1.42365,2.26317,0.43433,0.43192,0.48582,0.28445,1.35294,0.95984,1.69211,0.00133693,0.00133693,0.00133693
12,176.822,1.96689,1.4749,2.33238,0.42493,0.43975,0.47536,0.29614,1.33617,0.91938,1.63866,0.00130393,0.00130393,0.00130393
13,191.902,1.75872,1.31396,2.12371,0.44958,0.4687,0.48881,0.30678,1.23555,0.85739,1.62133,0.00127092,0.00127092,0.00127092
