epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1013,1.56748,2.83372,1.50675,0.43838,0.5151,0.43619,0.29085,1.21737,1.64456,1.1264,0.000206093,0.000206093,0.000206093
2,71.5016,1.47908,1.78474,1.41639,0.44508,0.62287,0.55619,0.41262,0.95688,1.46207,1.02803,0.000406221,0.000406221,0.000406221
3,107.452,1.50282,1.79285,1.46427,0.47583,0.604,0.54163,0.39865,0.92456,1.37486,1.02615,0.000598099,0.000598099,0.000598099
4,145.802,1.47387,1.70621,1.46206,0.43693,0.63462,0.58358,0.4138,1.09416,1.41603,1.10014,0.000587875,0.000587875,0.000587875
5,182.832,1.4458,1.55543,1.46208,0.51978,0.64424,0.59623,0.44343,0.90627,1.39445,0.99608,0.0005755,0.0005755,0.0005755
6,233.58,1.44244,1.45465,1.45371,0.51085,0.60868,0.59471,0.38888,1.33313,1.29171,1.1462,0.000563125,0.000563125,0.000563125
7,283.118,1.43501,1.36574,1.4306,0.54032,0.6817,0.64276,0.48653,0.9028,1.03317,1.04038,0.00055075,0.00055075,0.00055075
8,394.536,1.42727,1.29789,1.40919,0.63158,0.60293,0.6724,0.48424,1.03977,1.12734,1.05891,0.000538375,0.000538375,0.000538375
9,431.682,1.37306,1.26872,1.41665,0.53012,0.57573,0.59954,0.42815,1.10708,1.38727,1.12246,0.000526,0.000526,0.000526
10,469.644,1.35904,1.22499,1.42137,0.48249,0.70477,0.68761,0.52432,0.90302,1.07165,1.03056,0.000513625,0.000513625,0.000513625
11,508.199,1.3177,1.18135,1.40378,0.56064,0.75103,0.70068,0.51238,0.97434,1.02226,1.03601,0.00050125,0.00050125,0.00050125
12,546.249,1.33385,1.18834,1.40082,0.56636,0.71634,0.68966,0.53071,0.87378,0.93643,1.00687,0.000488875,0.000488875,0.000488875
