epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,550.451,1.07424,0.79493,1.22392,0.74977,0.78753,0.84038,0.70933,0.66814,0.78311,0.92248,0.000204613,0.000204613,0.000204613
2,1037.88,1.16392,0.91842,1.29159,0.76751,0.63572,0.7649,0.60539,0.8053,0.78802,0.96944,0.00040477,0.00040477,0.00040477
3,1574.02,1.1312,0.94735,1.25695,0.82771,0.83021,0.89401,0.76264,0.62216,0.58333,0.9045,0.000596677,0.000596677,0.000596677
4,2162.54,1.13749,0.92614,1.26314,0.75493,0.77734,0.88061,0.69215,0.79145,0.86065,0.95439,0.000587875,0.000587875,0.000587875
5,2740.53,1.14976,0.87778,1.29118,0.82142,0.77837,0.87266,0.70899,0.73233,0.77918,0.93559,0.0005755,0.0005755,0.0005755
6,3357.48,1.11308,0.82646,1.24182,0.89476,0.83619,0.89869,0.69286,0.88401,0.62447,0.95807,0.000563125,0.000563125,0.000563125
7,3973.77,1.10644,0.82849,1.26948,0.88951,0.79842,0.89145,0.73656,0.66458,0.5687,0.93333,0.00055075,0.00055075,0.00055075
8,4621.57,1.12261,0.82815,1.25735,0.88342,0.80321,0.88708,0.73787,0.68892,0.62743,0.94647,0.000538375,0.000538375,0.000538375
9,5146.32,1.07704,0.81079,1.22527,0.89174,0.7855,0.88807,0.70156,0.85615,0.60065,1.01681,0.000526,0.000526,0.000526
10,5715.88,1.11623,0.82513,1.25402,0.80428,0.77595,0.85477,0.70238,0.68656,0.74754,0.92509,0.000513625,0.000513625,0.000513625
11,6277.41,1.06678,0.78009,1.21018,0.84027,0.81071,0.87208,0.74866,0.62712,0.62345,0.90029,0.00050125,0.00050125,0.00050125
12,6791.39,1.06343,0.76136,1.23312,0.81751,0.81047,0.86567,0.73748,0.64141,0.58958,0.90312,0.000488875,0.000488875,0.000488875
13,7401.15,1.07851,0.72412,1.22267,0.87112,0.80168,0.89035,0.74952,0.65033,0.54262,0.9132,0.0004765,0.0004765,0.0004765
14,7960.76,1.04616,0.73134,1.2104,0.87836,0.77854,0.88432,0.75591,0.6078,0.60555,0.8977,0.000464125,0.000464125,0.000464125
15,8520.72,1.03119,0.6859,1.18025,0.84387,0.82308,0.89027,0.76094,0.63683,0.55734,0.90574,0.00045175,0.00045175,0.00045175
16,9066.36,0.99953,0.67812,1.16881,0.85248,0.82105,0.89592,0.77061,0.61377,0.70909,0.89383,0.000439375,0.000439375,0.000439375
17,9558.94,1.01937,0.6607,1.17615,0.93015,0.82955,0.92213,0.7904,0.60936,0.51521,0.90353,0.000427,0.000427,0.000427
18,10187.9,1.02326,0.70114,1.21087,0.89549,0.85863,0.93083,0.79071,0.61701,0.46647,0.89237,0.000414625,0.000414625,0.000414625
19,10779.7,0.97577,0.66515,1.18879,0.93088,0.86038,0.94013,0.79835,0.64957,0.47739,0.9033,0.00040225,0.00040225,0.00040225
20,11388.6,0.99433,0.67893,1.19119,0.91312,0.89346,0.94366,0.81528,0.59098,0.4664,0.88457,0.000389875,0.000389875,0.000389875
21,11972.1,0.99242,0.66033,1.18426,0.8991,0.85212,0.92535,0.78157,0.63953,0.50943,0.90268,0.0003775,0.0003775,0.0003775
22,12588.9,0.94199,0.6278,1.14978,0.88365,0.77878,0.90187,0.78586,0.58079,0.50606,0.88493,0.000365125,0.000365125,0.000365125
23,13152.1,0.97522,0.63724,1.17613,0.90663,0.82507,0.91748,0.77346,0.65054,0.57067,0.90325,0.00035275,0.00035275,0.00035275
24,13716.4,0.94303,0.62002,1.15484,0.90823,0.8382,0.92592,0.79844,0.59678,0.49547,0.88363,0.000340375,0.000340375,0.000340375
25,14267.3,0.93452,0.60912,1.14667,0.91655,0.84666,0.93125,0.80165,0.60027,0.49143,0.89378,0.000328,0.000328,0.000328
26,14812.7,0.92896,0.62275,1.15501,0.90923,0.89277,0.94226,0.81509,0.57459,0.43028,0.8886,0.000315625,0.000315625,0.000315625
27,15422.1,0.93262,0.60317,1.12778,0.91727,0.85709,0.9262,0.79175,0.60202,0.48027,0.89662,0.00030325,0.00030325,0.00030325
28,15969.4,0.91244,0.58953,1.13073,0.8902,0.8621,0.91641,0.7905,0.60282,0.53474,0.90041,0.000290875,0.000290875,0.000290875
29,16547,0.89909,0.58077,1.13504,0.85899,0.83622,0.89652,0.76685,0.62998,0.56523,0.8986,0.0002785,0.0002785,0.0002785
30,17046,0.89206,0.59359,1.13207,0.82779,0.80518,0.87748,0.74347,0.62218,0.59071,0.89397,0.000266125,0.000266125,0.000266125
31,17647.7,0.87903,0.58403,1.13235,0.8587,0.86897,0.92936,0.80423,0.59971,0.45417,0.88595,0.00025375,0.00025375,0.00025375
32,18188.9,0.87897,0.57227,1.10879,0.91223,0.88028,0.93808,0.82241,0.5651,0.42444,0.87952,0.000241375,0.000241375,0.000241375
33,18725.3,0.84252,0.53113,1.09329,0.91676,0.83577,0.92428,0.79924,0.60421,0.45519,0.89291,0.000229,0.000229,0.000229
34,19252.3,0.84926,0.5355,1.08652,0.8641,0.8609,0.90243,0.78993,0.55546,0.55598,0.8742,0.000216625,0.000216625,0.000216625
35,19810.6,0.86557,0.54738,1.11922,0.86084,0.85057,0.91346,0.7806,0.63439,0.5432,0.9083,0.00020425,0.00020425,0.00020425
36,20348.6,0.85146,0.53385,1.10722,0.91943,0.84003,0.92464,0.80086,0.58068,0.48824,0.889,0.000191875,0.000191875,0.000191875
37,20983.6,0.83127,0.53019,1.09801,0.93195,0.84913,0.9292,0.81055,0.58462,0.43751,0.88294,0.0001795,0.0001795,0.0001795
38,21516.2,0.81194,0.50569,1.06577,0.90785,0.85967,0.93098,0.81679,0.55398,0.44489,0.87645,0.000167125,0.000167125,0.000167125
39,22093.8,0.82021,0.50473,1.06231,0.86183,0.84173,0.92332,0.81496,0.54926,0.47012,0.86867,0.00015475,0.00015475,0.00015475
40,22632.1,0.81386,0.50352,1.05378,0.89233,0.87152,0.90887,0.79451,0.55892,0.46353,0.86681,0.000142375,0.000142375,0.000142375
41,23139.4,0.77844,0.4144,1.08354,0.90934,0.86404,0.91872,0.80238,0.56407,0.46036,0.8748,0.00013,0.00013,0.00013
42,23684.7,0.75694,0.40546,1.07121,0.90967,0.8667,0.92484,0.80658,0.56371,0.45132,0.87959,0.000117625,0.000117625,0.000117625
43,24284.6,0.72769,0.3973,1.06379,0.92511,0.87458,0.92583,0.80684,0.57453,0.44021,0.88628,0.00010525,0.00010525,0.00010525
44,24825.5,0.7108,0.3831,1.0606,0.91481,0.86731,0.92365,0.81089,0.54996,0.43965,0.87474,9.2875e-05,9.2875e-05,9.2875e-05
45,25346.1,0.71411,0.38134,1.04309,0.92273,0.84954,0.92221,0.80772,0.55511,0.44477,0.8785,8.05e-05,8.05e-05,8.05e-05
46,25948.4,0.69589,0.3778,1.05014,0.92037,0.85856,0.92455,0.80539,0.58426,0.42492,0.88699,6.8125e-05,6.8125e-05,6.8125e-05
47,26552.6,0.69613,0.37474,1.03744,0.92171,0.87592,0.9312,0.81867,0.55012,0.42504,0.87399,5.575e-05,5.575e-05,5.575e-05
48,27116.8,0.67554,0.37306,1.0301,0.92708,0.87154,0.92511,0.80974,0.55424,0.43315,0.87771,4.3375e-05,4.3375e-05,4.3375e-05
49,27711.6,0.6689,0.35919,1.02685,0.91813,0.88543,0.93054,0.82035,0.53775,0.41774,0.86903,3.1e-05,3.1e-05,3.1e-05
50,28314,0.66906,0.36738,1.021,0.92047,0.88288,0.93575,0.82608,0.54496,0.40529,0.87524,1.8625e-05,1.8625e-05,1.8625e-05
